Year,Nominal GDP (million of Dollars),Real GDP (millions of 2009 dollars),GDP Deflator (index 2009=100),Population (in thousands),Nominal GDP per capita (current dollars),Real GDP per capita (year 2009 dollars),,,,Inflation
1790,189,"4,351",4.34,"3,929.00",48.07,"1,107.32",,,1775,-5.24
1791,206,"4,612",4.46,"4,048.00",50.8,"1,139.28",,,1776,14.17
1792,225,"4,952",4.54,"4,172.00",53.86,"1,186.84",,,1777,21.87
1793,251,"5,345",4.7,"4,299.00",58.39,"1,243.34",,,1778,29.78
1794,315,"6,052",5.21,"4,429.00",71.18,"1,366.45",,,1779,-11.51
1795,383,"6,436",5.96,"4,563.00",84.04,"1,410.40",,,1780,12.25
1796,417,"6,640",6.27,"4,701.00",88.63,"1,412.53",,,1781,-19.34
1797,409,"6,774",6.04,"4,844.00",84.43,"1,398.33",,,1782,9.7
1798,413,"7,064",5.84,"4,990.00",82.68,"1,415.67",,,1783,-12.33
1799,442,"7,563",5.84,"5,141.00",85.91,"1,471.05",,,1784,-3.88
1800,480,"7,994",6.01,"5,297.00",90.64,"1,509.06",,,1785,-4.84
1801,514,"8,383",6.13,"5,461.00",94.18,"1,535.08",,,1786,-2.55
1802,451,"8,647",5.21,"5,632.00",80.04,"1,535.28",,,1787,-1.85
1803,487,"8,793",5.54,"5,809.00",83.86,"1,513.74",,,1788,-4.43
1804,533,"9,135",5.83,"5,991.00",88.88,"1,524.74",,,1789,-0.93
1805,561,"9,619",5.83,"6,180.00",90.79,"1,556.43",,,1790,3.75
1806,617,"10,074",6.13,"6,379.00",96.78,"1,579.17",,,1791,2.71
1807,589,"10,083",5.84,"6,588.00",89.37,"1,530.49",,,1792,1.87
1808,646,"10,105",6.39,"6,797.00",95.02,"1,486.74",,,1793,3.45
1809,687,"10,878",6.31,"7,009.00",97.95,"1,552.07",,,1794,10.95
1810,706,"11,481",6.15,"7,224.00",97.73,"1,589.31",,,1795,14.38
1811,767,"12,003",6.39,"7,436.00",103.18,"1,614.19",,,1796,5.26
1812,786,"12,482",6.3,"7,651.00",102.75,"1,631.42",,,1797,-3.75
1813,969,"13,192",7.35,"7,867.00",123.21,"1,676.92",,,1798,-3.33
1814,"1,078","13,744",7.84,"8,085.00",133.35,"1,699.98",,,1799,0
1815,925,"13,855",6.68,"8,308.00",111.32,"1,667.65",,,1800,2.1
1816,819,"13,854",5.91,"8,540.00",95.92,"1,622.25",,,1801,1.31
1817,769,"14,176",5.42,"8,790.00",87.46,"1,612.73",,,1802,-15.73
1818,737,"14,691",5.02,"9,057.00",81.4,"1,622.02",,,1803,5.49
1819,726,"14,975",4.85,"9,335.00",77.82,"1,604.18",,,1804,4.38
1820,710,"15,574",4.56,"9,618.00",73.79,"1,619.22",,,1805,-0.7
