Wavelength,Plant - healthy,Plant - sick,NDVI705,MTVI2,TCARI,PRI,SIPI,PSRI,WBI,CRI1,CRI2,ARI,ARI2
400 nm,2.5%,2.5%,0,0,0,0,0,0,0,0,0,0,0
425 nm,2.5%,2.5%,0,0,0,0,0,0,0,0,0,0,0
445 nm,3.5%,3.5%,1,0,0,0,1,0,0,0,0,0,0
475 nm,4.0%,3.5%,0,0,0,0,0,0,0,0,0,0,0
500 nm,5.0%,4.0%,0,0,0,0,0,1,0,0,0,0,0
510 nm,6.0%,5.0%,0,0,0,0,0,0,0,1,1,0,0
525 nm,9.0%,7.5%,0,0,0,0,0,0,0,0,0,0,0
531 nm,10.5%,8.6%,0,0,0,1,0,0,0,0,0,0,0
550 nm,14.5%,12.0%,0,1,1,0,0,0,0,1,0,1,1
570 nm,11.0%,11.0%,0,0,0,1,0,0,0,0,0,0,0
575 nm,10.0%,10.0%,0,0,0,0,0,0,0,0,0,0,0
600 nm,6.0%,6.0%,0,0,0,0,0,0,0,0,0,0,0
625 nm,5.0%,5.0%,0,0,0,0,0,0,0,0,0,0,0
650 nm,4.0%,4.0%,0,0,0,0,0,0,0,0,0,0,0
670 nm,3.0%,3.0%,0,1,1,0,0,0,0,0,0,0,0
680 nm,3.0%,3.0%,0,0,0,0,1,1,0,0,0,0,0
700 nm,10.0%,10.0%,1,0,1,0,0,0,0,0,1,1,1
725 nm,30.0%,20.0%,0,0,0,0,0,0,0,0,0,0,0
740 nm,46.0%,24.0%,0,0,0,0,0,0,0,0,0,0,0
750 nm,49.0%,24.0%,0,0,0,0,0,1,0,0,0,0,0
775 nm,51.0%,25.5%,0,0,0,0,0,0,0,0,0,0,0
800 nm,51.0%,26.0%,0,1,0,0,0,0,0,0,0,0,1
825 nm,51.0%,27.0%,0,0,0,0,0,0,0,0,0,0,0
850 nm,52.0%,27.5%,0,0,0,0,0,0,0,0,0,0,0
875 nm,52.0%,28.0%,0,0,0,0,0,0,0,0,0,0,0
900 nm,51.0%,28.5%,0,0,0,0,0,0,1,0,0,0,0
925 nm,50.0%,28.0%,0,0,0,0,0,0,0,0,0,0,0
950 nm,47.5%,27.5%,0,0,0,0,0,0,0,0,0,0,0
970 nm,46.0%,27.5%,0,0,0,0,0,0,1,0,0,0,0
1000 nm,47.5%,28.5%,0,0,0,0,0,0,0,0,0,0,0
