Year,Nominal GDP (million of pounds),Real GDP (millions of 2008 pounds),GDP Deflator (index 2008 = 100),Population (in thousands),Nominal GDP per capita (current pounds),Real GDP per capita (2008 pounds),
1830,483,"43,782",1.1,"23,815.00",20.28,"1,838.42",0.483
1831,480,"45,739",1.05,"24,135.00",19.9,"1,895.12",0.48
1832,459,"45,087",1.02,"24,373.00",18.83,"1,849.86",0.459
1833,453,"45,739",0.99,"24,602.00",18.42,"1,859.15",0.453
1834,481,"47,695",1.01,"24,862.00",19.35,"1,918.39",0.481
1835,508,"50,117",1.01,"25,134.00",20.22,"1,993.99",0.508
1836,542,"51,049",1.06,"25,406.00",21.33,"2,009.31",0.542
1837,521,"50,676",1.03,"25,651.00",20.3,"1,975.59",0.521
1838,553,"53,471",1.03,"25,904.00",21.33,"2,064.18",0.553
1839,582,"55,799",1.04,"26,199.00",22.23,"2,129.83",0.582
1840,546,"54,216",1.01,"26,488.00",20.61,"2,046.80",0.546
1841,520,"52,260",0.99,"26,751.00",19.43,"1,953.55",0.52
1842,500,"51,887",0.96,"27,004.00",18.5,"1,921.45",0.5
1843,498,"53,471",0.93,"27,256.00",18.26,"1,961.79",0.498
1844,543,"56,358",0.96,"27,525.00",19.72,"2,047.53",0.543
1845,575,"59,339",0.97,"27,776.00",20.69,"2,136.35",0.575
1846,614,"63,345",0.97,"28,002.00",21.94,"2,262.16",0.614
1847,638,"61,761",1.03,"27,972.00",22.82,"2,207.97",0.638
1848,614,"63,718",0.96,"27,820.00",22.08,"2,290.35",0.614
1849,625,"64,649",0.97,"27,669.00",22.58,"2,336.52",0.625
1850,572,"63,531",0.9,"27,524.00",20.78,"2,308.21",0.572
1851,601,"66,326",0.91,"27,393.00",21.93,"2,421.27",0.601
1852,607,"67,630",0.9,"27,448.00",22.1,"2,463.93",0.607
1853,678,"69,586",0.97,"27,542.00",24.61,"2,526.55",0.678
1854,718,"70,797",1.01,"27,658.00",25.97,"2,559.74",0.718
1855,739,"71,822",1.03,"27,822.00",26.55,"2,581.48",0.739
1856,769,"74,803",1.03,"28,011.00",27.44,"2,670.48",0.769
1857,779,"75,958",1.02,"28,187.00",27.62,"2,694.80",0.779
1858,752,"75,696",0.99,"28,390.00",26.5,"2,666.30",0.752
1859,794,"78,988",1,"28,591.00",27.76,"2,762.70",0.794
1860,812,"80,485",1.01,"28,778.00",28.2,"2,796.77",0.812
1861,847,"81,824",1.04,"28,976.00",29.23,"2,823.85",0.847
1862,860,"82,645",1.04,"29,245.00",29.42,"2,825.94",0.86
1863,896,"84,669",1.06,"29,471.00",30.41,"2,872.96",0.896
1864,945,"86,095",1.1,"29,681.00",31.84,"2,900.66",0.945
1865,975,"89,737",1.09,"29,925.00",32.58,"2,998.73",0.975
1866,"1,020","90,773",1.12,"30,148.00",33.82,"3,010.90",1.02
1867,"1,002","89,920",1.11,"30,409.00",32.96,"2,957.01",1.002
1868,"1,001","92,662",1.08,"30,690.00",32.62,"3,019.29",1.001
