Year,GDP-US,Population-US,Total Revenue -fed,,Balance -fed,,Federal Deficit -fed,,Debt held by government -fed,,Individual Income Tax -fed,
,$ billion nominal,million,$ billion nominal,,$ billion nominal,,$ billion nominal,,$ billion nominal,,$ billion nominal,
1792,MW gdp,4.173,0,a,0,,0,a,0,,0,
1793,MW gdp,4.3,0,a,0,,0,a,0,,0,
1794,MW gdp,4.432,0.01,a,0,,0,a,0,,0,
1795,MW gdp,4.567,0.01,a,0,,0,a,0,,0,
1796,MW gdp,4.707,0.01,a,0,,0,a,0,,0,
1797,MW gdp,4.85,0.01,a,0,,0,a,0,,0,
1798,MW gdp,4.998,0.01,a,0,,0,a,0,,0,
1799,MW gdp,5.151,0.01,a,0,,0,a,0,,0,
1800,MW gdp,5.308,0.01,a,0,,0,a,0,,0,
1801,MW gdp,5.476,0.01,a,0,,0,a,0,,0,
1802,MW gdp,5.648,0.02,a,0,,-0.01,a,0,,0,
1803,MW gdp,5.826,0.01,a,0,,0,a,0,,0,
1804,MW gdp,6.01,0.01,a,0,,0,a,0,,0,
1805,MW gdp,6.199,0.01,a,0,,0,a,0,,0,
1806,MW gdp,6.395,0.02,a,0,,-0.01,a,0,,0,
1807,MW gdp,6.596,0.02,a,0,,-0.01,a,0,,0,
1808,MW gdp,6.804,0.02,a,0,,-0.01,a,0,,0,
1809,MW gdp,7.019,0.01,a,0,,0,a,0,,0,
1810,MW gdp,7.24,0.01,a,0,,0,a,0,,0,
1811,MW gdp,7.45,0.02,a,0,,-0.01,a,0,,0,
1812,MW gdp,7.666,0.01,a,0,,0.01,a,0,,0,
1813,MW gdp,7.889,0.02,a,0,,0.02,a,0,,0,
1814,MW gdp,8.118,0.01,a,0,,0.02,a,0,,0,
1815,MW gdp,8.354,0.02,a,0,,0.02,a,0,,0,
1816,MW gdp,8.596,0.05,a,0,,-0.02,a,0,,0,
1817,MW gdp,8.846,0.03,a,0,,-0.01,a,0,,0,
1818,MW gdp,9.102,0.02,a,0,,0,a,0,,0,
1819,MW gdp,9.367,0.03,a,0,,0,a,0,,0,
1820,MW gdp,9.638,0.02,a,0,,0,a,0,,0,
1821,MW gdp,9.921,0.02,a,0,,0,a,0,,0,
