Year,GDP-UK billions,"Real GDP, billions 2008 £",Population-UK million,Public Net Debt-total percent GDP,,Interest-total percent GDP,,Balance-total percent GDP,,Total Spending-total percent GDP,,Pensions-total percent GDP,,Total Revenue-total &#163; billion,Total Revenue-total percent GDP,Income and Capital Taxes-total percent GDP,
1692,0.05885,9.7831048,9.1,5.61,a,0.34,a,0,,7.23,a,0,,,,,
1693,0.05906,9.7939919,9.1,9.99,a,0.38,a,0,,9.44,a,0,,,,,
1694,0.05927,9.8048893,9.1,10.29,a,0.75,a,0,,9.45,a,0,,,,,
1695,0.05949,9.8158073,9.1,14.12,a,0.98,a,0,,10.46,a,0,,,,,
1696,0.0597,9.8267253,9.1,17.76,a,1.09,a,0,,13.4,a,0,,,,,
1697,0.05992,9.8376639,9.1,27.87,a,1.74,a,0,,13.21,a,0,,,,,
1698,0.06014,9.8486128,9.1,28.77,a,2.44,a,0,,6.86,a,0,,,,,
1699,0.06036,9.859572,9.1,25.51,a,2.46,a,0,,7.77,a,0,,,,,
1700,0.06058,9.8705415,9.1,23.44,a,2.07,a,0,,5.28,a,0,,0,7.17,0,
1701,0.0608,9.8815316,9.129,23.19,a,1.97,a,0,,5.66,a,0,,0,6.2,0,
1702,0.06102,9.8925217,9.158,23.11,a,1.92,a,0,,8.21,a,0,,0,7.98,0,
1703,0.06124,9.9035324,9.188,22.21,a,1.7,a,0,,8.68,a,0,,0.01,9.08,0,
1704,0.06146,9.9145534,9.217,21.8,a,1.59,a,0,,8.99,a,0,,0.01,8.78,0,
1705,0.06168,9.9255847,9.247,21.08,a,1.68,a,0,,9.52,a,0,,0.01,8.58,0,
1706,0.06191,9.9366366,9.276,21,a,1.74,a,0,,10.81,a,0,,0.01,8.53,0,
1707,0.06213,9.9476885,9.306,23.34,a,2.97,a,0,,14.08,a,0,,0.01,8.81,0,
1708,0.06236,9.958761,9.336,24.37,a,2.63,a,0,,12.42,a,0,,0.01,8.35,0,
1709,0.06258,9.9698438,9.366,30.52,a,3.22,a,0,,14.64,a,0,,0.01,8.32,0,
1710,0.06281,9.9809369,9.396,34.07,a,2.79,a,0,,15.56,a,0,,0.01,8.36,0,
1711,0.06304,9.9920506,9.426,35.53,a,2.88,a,0,,24.02,a,0,,0.01,8.22,0,
1712,0.06326,10.0031643,9.456,55.17,a,3.73,a,0,,12.43,a,0,,0.01,9.09,0,
1713,0.06349,10.0142986,9.487,54.65,a,4.55,a,0,,10.02,a,0,,0.01,9.1,0,
1714,0.06372,10.0254432,9.517,56.81,a,4.74,a,0,,9.71,a,0,,0.01,8.41,0,
1715,0.06396,10.0365981,9.547,58.47,a,9.81,a,0,,9.74,a,0,,0.01,8.67,0,
1716,0.06419,10.0477736,9.578,59.04,a,4.72,a,0,,11.02,a,0,,0.01,8.7,0,
1717,0.06442,10.0589491,9.609,61.01,a,5.34,a,0,,9.14,a,0,,0.01,10.11,0,
1718,0.06465,10.0701452,9.64,61.41,a,4.39,a,0,,9.83,a,0,,0.01,9.42,0,
1719,0.06489,10.0813516,9.67,64.11,a,4.17,a,0,,9.48,a,0,,0.01,9.29,0,
1720,0.06512,10.0925683,9.701,82.92,a,4.25,a,0,,9.22,a,0,,0.01,9.71,0,
1721,0.06536,10.1038056,9.733,84,a,5.07,a,0,,8.99,a,0,,0.01,9.11,0,
1722,0.0656,10.1150429,9.764,80.34,a,4.59,a,0,,10.64,a,0,,0.01,9.38,0,
1723,0.06584,10.1263008,9.795,81.41,a,5.95,a,0,,8.61,a,0,,0.01,9.1,0,
1724,0.06607,10.137569,9.826,81.43,a,4.33,a,0,,8.23,a,0,,0.01,8.74,0,
1725,0.06631,10.1488578,9.858,79.48,a,4.22,a,0,,8.32,a,0,,0.01,8.99,0,
1726,0.06655,10.1601466,9.889,79.49,a,4.01,a,0,,8.33,a,0,,0.01,8.29,0,
1727,0.0668,10.171456,9.921,79.34,a,4.17,a,0,,8.77,a,0,,0.01,9.14,0,
1728,0.06704,10.1827757,9.953,78.61,a,3.48,a,0,,9.7,a,0,,0.01,10.06,0,
1729,0.06728,10.1941057,9.985,77.44,a,3.39,a,0,,8.49,a,0,,0.01,9.35,0,
1730,0.06752,10.205446,10.017,76.13,a,3.38,a,0,,8.26,a,0,,0.01,9.28,0,
1731,0.06777,10.2168069,10.049,76.29,a,3.13,a,0,,7.89,a,0,,0.01,8.97,0,
1732,0.06802,10.2281781,10.081,73.65,a,3.26,a,0,,7.31,a,0,,0.01,8.53,0,
1733,0.06826,10.2395596,10.114,73.25,a,3.14,a,0,,6.73,a,0,,0.01,8.09,0,
1734,0.06851,10.2509514,10.146,71.67,a,3,a,0,,9.28,a,0,,0.01,7.95,0,
1735,0.06876,10.2623638,10.178,71.7,a,3.16,a,0,,8.51,a,0,,0.01,8.22,0,
1736,0.06901,10.2737865,10.211,72.02,a,3.21,a,0,,8.39,a,0,,0.01,8.35,0,
1737,0.06926,10.2852195,10.244,70.03,a,3.04,a,0,,7.41,a,0,,0.01,8.77,0,
1738,0.06951,10.2966628,10.277,68.34,a,2.96,a,0,,6.79,a,0,,0.01,8.22,0,
1739,0.06976,10.308137,10.31,67.23,a,2.93,a,0,,7.47,a,0,,0.01,8.34,0,
1740,0.07001,10.31957,10.343,67.7,a,3,a,0,,8.8,a,0,,0,3.92,0,
1741,0.07027,10.331106,10.393,69.45,a,2.89,a,0,,10.66,a,0,,0.01,8.89,0,
1742,0.07052,10.342539,10.444,72.75,a,2.89,a,0,,12.1,a,0,,0.01,9.1,0,
1743,0.07078,10.354075,10.494,75.59,a,2.99,a,0,,12.69,a,0,,0.01,9.28,0,
1744,0.07104,10.365611,10.545,80.38,a,3.07,a,0,,13.23,a,0,,0.01,9.26,0,
1745,0.07129,10.377147,10.597,84.3,a,3.17,a,0,,12.51,a,0,,0.01,9.05,0,
1746,0.07155,10.388683,10.648,90.71,a,3.24,a,0,,13.7,a,0,,0.01,8.73,0,
1747,0.07181,10.400219,10.7,96.64,a,3.78,a,0,,15.95,a,0,,0.01,9.69,0,
1748,0.07207,10.411858,10.752,105.59,a,3.94,a,0,,15.28,a,0,,0.01,9.99,0,
1749,0.07233,10.423394,10.805,107.56,a,4.12,a,0,,17.34,a,0,,0.01,10.36,0,
1750,0.0726,10.435033,10.857,107.44,a,4.43,a,0,,9.9,a,0,,0.01,10.29,0,
1751,0.07286,10.446569,10.91,107.19,a,4.09,a,0,,8.82,a,0,,0.01,9.74,0,
