Year,GDP-UK billions,Population-UK million,Public Net Debt-total percent GDP,,Interest-total percent GDP,,Balance-total percent GDP,,Total Spending-total percent GDP,,Pensions-total percent GDP,
1692,0.05885,9.100,5.61,a,0.34,a,0.00,,7.23,a,0.00,
1693,0.05906,9.100,9.99,a,0.38,a,0.00,,9.44,a,0.00,
1694,0.05927,9.100,10.29,a,0.75,a,0.00,,9.45,a,0.00,
1695,0.05949,9.100,14.12,a,0.98,a,0.00,,10.46,a,0.00,
1696,0.05970,9.100,17.76,a,1.09,a,0.00,,13.40,a,0.00,
1697,0.05992,9.100,27.87,a,1.74,a,0.00,,13.21,a,0.00,
1698,0.06014,9.100,28.77,a,2.44,a,0.00,,6.86,a,0.00,
1699,0.06036,9.100,25.51,a,2.46,a,0.00,,7.77,a,0.00,
1700,0.06058,9.100,23.44,a,2.07,a,0.00,,5.28,a,0.00,
1701,0.06080,9.129,23.19,a,1.97,a,0.00,,5.66,a,0.00,
1702,0.06102,9.158,23.11,a,1.92,a,0.00,,8.21,a,0.00,
1703,0.06124,9.188,22.21,a,1.70,a,0.00,,8.68,a,0.00,
1704,0.06146,9.217,21.80,a,1.59,a,0.00,,8.99,a,0.00,
1705,0.06168,9.247,21.08,a,1.68,a,0.00,,9.52,a,0.00,
1706,0.06191,9.276,21.00,a,1.74,a,0.00,,10.81,a,0.00,
1707,0.06213,9.306,23.34,a,2.97,a,0.00,,14.08,a,0.00,
1708,0.06236,9.336,24.37,a,2.63,a,0.00,,12.42,a,0.00,
1709,0.06258,9.366,30.52,a,3.22,a,0.00,,14.64,a,0.00,
1710,0.06281,9.396,34.07,a,2.79,a,0.00,,15.56,a,0.00,
1711,0.06304,9.426,35.53,a,2.88,a,0.00,,24.02,a,0.00,
1712,0.06326,9.456,55.17,a,3.73,a,0.00,,12.43,a,0.00,
1713,0.06349,9.487,54.65,a,4.55,a,0.00,,10.02,a,0.00,
1714,0.06372,9.517,56.81,a,4.74,a,0.00,,9.71,a,0.00,
1715,0.06396,9.547,58.47,a,9.81,a,0.00,,9.74,a,0.00,
1716,0.06419,9.578,59.04,a,4.72,a,0.00,,11.02,a,0.00,
1717,0.06442,9.609,61.01,a,5.34,a,0.00,,9.14,a,0.00,
1718,0.06465,9.640,61.41,a,4.39,a,0.00,,9.83,a,0.00,
1719,0.06489,9.670,64.11,a,4.17,a,0.00,,9.48,a,0.00,
1720,0.06512,9.701,82.92,a,4.25,a,0.00,,9.22,a,0.00,
1721,0.06536,9.733,84.00,a,5.07,a,0.00,,8.99,a,0.00,
1722,0.06560,9.764,80.34,a,4.59,a,0.00,,10.64,a,0.00,
1723,0.06584,9.795,81.41,a,5.95,a,0.00,,8.61,a,0.00,
1724,0.06607,9.826,81.43,a,4.33,a,0.00,,8.23,a,0.00,
1725,0.06631,9.858,79.48,a,4.22,a,0.00,,8.32,a,0.00,
1726,0.06655,9.889,79.49,a,4.01,a,0.00,,8.33,a,0.00,
1727,0.06680,9.921,79.34,a,4.17,a,0.00,,8.77,a,0.00,
1728,0.06704,9.953,78.61,a,3.48,a,0.00,,9.70,a,0.00,
1729,0.06728,9.985,77.44,a,3.39,a,0.00,,8.49,a,0.00,
1730,0.06752,10.017,76.13,a,3.38,a,0.00,,8.26,a,0.00,
1731,0.06777,10.049,76.29,a,3.13,a,0.00,,7.89,a,0.00,
1732,0.06802,10.081,73.65,a,3.26,a,0.00,,7.31,a,0.00,
1733,0.06826,10.114,73.25,a,3.14,a,0.00,,6.73,a,0.00,
1734,0.06851,10.146,71.67,a,3.00,a,0.00,,9.28,a,0.00,
1735,0.06876,10.178,71.70,a,3.16,a,0.00,,8.51,a,0.00,
1736,0.06901,10.211,72.02,a,3.21,a,0.00,,8.39,a,0.00,
1737,0.06926,10.244,70.03,a,3.04,a,0.00,,7.41,a,0.00,
1738,0.06951,10.277,68.34,a,2.96,a,0.00,,6.79,a,0.00,
1739,0.06976,10.310,67.23,a,2.93,a,0.00,,7.47,a,0.00,
1740,0.07001,10.343,67.70,a,3.00,a,0.00,,8.80,a,0.00,
1741,0.07027,10.393,69.45,a,2.89,a,0.00,,10.66,a,0.00,
1742,0.07052,10.444,72.75,a,2.89,a,0.00,,12.10,a,0.00,
1743,0.07078,10.494,75.59,a,2.99,a,0.00,,12.69,a,0.00,
