Year,GDP billions £,Population millions £,"Public Net Debt, GDP %",,Interest Rate %,,"Payments Balance, GDP %","Spending, GDP %",,GDP (per capita) £,Real GDP (per capita) 2008 £,"Public Net Debt, millions £",Inflation (CPI) %,Unemployment %,"Tax Revenue, billions £","Tax Revenue, GDP %","Income Tax Rate, avg %"
1692,0.05885,9.1,5.61,a,0.34,a,,7.23,a,6.467032967,,0.003301485,,,,,
1693,0.05906,9.1,9.99,a,0.38,a,,9.44,a,6.49010989,,0.005900094,,,,,
1694,0.05927,9.1,10.29,a,0.75,a,,9.45,a,6.513186813,,0.006098883,,,,,
1695,0.05949,9.1,14.12,a,0.98,a,,10.46,a,6.537362637,,0.008399988,,,,,
1696,0.0597,9.1,17.76,a,1.09,a,,13.4,a,6.56043956,,0.01060272,,,,,
1697,0.05992,9.1,27.87,a,1.74,a,,13.21,a,6.584615385,,0.016699704,,,,,
1698,0.06014,9.1,28.77,a,2.44,a,,6.86,a,6.608791209,,0.017302278,,,,,
1699,0.06036,9.1,25.51,a,2.46,a,,7.77,a,6.632967033,,0.015397836,,,,,
1700,0.06058,9.1,23.44,a,2.07,a,,5.28,a,6.657142857,,0.014199952,,,,,
1701,0.0608,9.129,23.19,a,1.97,a,,5.66,a,6.660094205,,0.01409952,,,,,
1702,0.06102,9.158,23.11,a,1.92,a,,8.21,a,6.663026862,,0.014101722,,,,,
1703,0.06124,9.188,22.21,a,1.7,a,,8.68,a,6.665215498,,0.013601404,,,,,
1704,0.06146,9.217,21.8,a,1.59,a,,8.99,a,6.668113269,,0.01339828,,,,,
1705,0.06168,9.247,21.08,a,1.68,a,,9.52,a,6.670271439,,0.013002144,,,,,
1706,0.06191,9.276,21,a,1.74,a,,10.81,a,6.674213023,,0.0130011,,,,,
1707,0.06213,9.306,23.34,a,2.97,a,,14.08,a,6.676337847,,0.014501142,,,,,
1708,0.06236,9.336,24.37,a,2.63,a,,12.42,a,6.679520137,,0.015197132,,,,,
1709,0.06258,9.366,30.52,a,3.22,a,,14.64,a,6.68161435,,0.019099416,,,,,
1710,0.06281,9.396,34.07,a,2.79,a,,15.56,a,6.684759472,,0.021399367,,,,,
1711,0.06304,9.426,35.53,a,2.88,a,,24.02,a,6.687884575,,0.022398112,,,,,
1712,0.06326,9.456,55.17,a,3.73,a,,12.43,a,6.689932318,,0.034900542,,,,,
1713,0.06349,9.487,54.65,a,4.55,a,,10.02,a,6.692315801,,0.034697285,,,,,
1714,0.06372,9.517,56.81,a,4.74,a,,9.71,a,6.695387202,,0.036199332,,,,,
1715,0.06396,9.547,58.47,a,9.81,a,,9.74,a,6.69948675,,0.037397412,,,,,
1716,0.06419,9.578,59.04,a,4.72,a,,11.02,a,6.701816663,,0.037897776,,,,,
1717,0.06442,9.609,61.01,a,5.34,a,,9.14,a,6.704131543,,0.039302642,,,,,
1718,0.06465,9.64,61.41,a,4.39,a,,9.83,a,6.706431535,,0.039701565,,,,,
1719,0.06489,9.67,64.11,a,4.17,a,,9.48,a,6.710444674,,0.041600979,,,,,
1720,0.06512,9.701,82.92,a,4.25,a,,9.22,a,6.71271003,,0.053997504,,,,,
1721,0.06536,9.733,84,a,5.07,a,,8.99,a,6.715298469,,0.0549024,,,,,
1722,0.0656,9.764,80.34,a,4.59,a,,10.64,a,6.718557968,,0.05270304,,,,,
1723,0.06584,9.795,81.41,a,5.95,a,,8.61,a,6.721796835,,0.053600344,,,,,
1724,0.06607,9.826,81.43,a,4.33,a,,8.23,a,6.723997558,,0.053800801,,,,,
1725,0.06631,9.858,79.48,a,4.22,a,,8.32,a,6.726516535,,0.052703188,,,,,
1726,0.06655,9.889,79.49,a,4.01,a,,8.33,a,6.729699666,,0.052900595,,,,,
1727,0.0668,9.921,79.34,a,4.17,a,,8.77,a,6.733192219,,0.05299912,,,,,
1728,0.06704,9.953,78.61,a,3.48,a,,9.7,a,6.735657591,,0.052700144,,,,,
1729,0.06728,9.985,77.44,a,3.39,a,,8.49,a,6.738107161,,0.052101632,,,,,
1730,0.06752,10.017,76.13,a,3.38,a,,8.26,a,6.74054108,,0.051402976,,,,,
1731,0.06777,10.049,76.29,a,3.13,a,,7.89,a,6.743954622,,0.051701733,,,,,
1732,0.06802,10.081,73.65,a,3.26,a,,7.31,a,6.747346493,,0.05009673,,,,,
1733,0.06826,10.114,73.25,a,3.14,a,,6.73,a,6.749060708,,0.05000045,,,,,
1734,0.06851,10.146,71.67,a,3,a,,9.28,a,6.752414745,,0.049101117,,,,,
1735,0.06876,10.178,71.7,a,3.16,a,,8.51,a,6.755747691,,0.04930092,,,,,
1736,0.06901,10.211,72.02,a,3.21,a,,8.39,a,6.758397806,,0.049701002,,,,,
1737,0.06926,10.244,70.03,a,3.04,a,,7.41,a,6.761030847,,0.048502778,,,,,
1738,0.06951,10.277,68.34,a,2.96,a,,6.79,a,6.763646979,,0.047503134,,,,,
1739,0.06976,10.31,67.23,a,2.93,a,,7.47,a,6.766246363,,0.046899648,,,,,
1740,0.07001,10.343,67.7,a,3,a,,8.8,a,6.76882916,,0.04739677,,,,,
1741,0.07027,10.393,69.45,a,2.89,a,,10.66,a,6.761281632,,0.048802515,,,,,
1742,0.07052,10.444,72.75,a,2.89,a,,12.1,a,6.752202221,,0.0513033,,,,,
1743,0.07078,10.494,75.59,a,2.99,a,,12.69,a,6.744806556,,0.053502602,,,,,
1744,0.07104,10.545,80.38,a,3.07,a,,13.23,a,6.736842105,,0.057101952,,,,,
1745,0.07129,10.597,84.3,a,3.17,a,,12.51,a,6.727375672,,0.06009747,,,,,
1746,0.07155,10.648,90.71,a,3.24,a,,13.7,a,6.719571751,,0.064903005,,,,,
1747,0.07181,10.7,96.64,a,3.78,a,,15.95,a,6.711214953,,0.069397184,,,,,
1748,0.07207,10.752,105.59,a,3.94,a,,15.28,a,6.702938988,,0.076098713,,,,,
1749,0.07233,10.805,107.56,a,4.12,a,,17.34,a,6.694123091,,0.077798148,,,,,
1750,0.0726,10.857,107.44,a,4.43,a,,9.9,a,6.686930091,,0.07800144,5.1,,,,
1751,0.07286,10.91,107.19,a,4.09,a,,8.82,a,6.67827681,,0.078098634,5,,,,
1752,0.07312,10.963,105.17,a,4.03,a,,9.62,a,6.669707197,,0.076900304,5.2,,,,
1753,0.07339,11.016,102.19,a,3.76,a,,8.11,a,6.662127814,,0.074997241,5.1,,,,
1754,0.07365,11.07,98.03,a,3.83,a,,4.11,a,6.653116531,,0.072199095,5.3,,,,
1755,0.07392,11.124,98.08,a,3.69,a,,9.63,a,6.645091694,,0.072500736,5,,,,
1756,0.07419,11.184,100.55,a,3.72,a,,12.92,a,6.633583691,,0.074598045,5.2,,,,
1757,0.07446,11.245,104.49,a,3.77,a,,15.06,a,6.621609604,,0.077803254,6.3,,,,
1758,0.07473,11.306,109.86,a,3.87,a,,17.66,a,6.609764727,,0.082098378,6.3,,,,
1759,0.075,11.368,121.73,a,3.93,a,,20.51,a,6.597466573,,0.0912975,5.8,,,,
1760,0.07723,11.43,131.68,a,4.37,a,,23.3,a,6.756780402,,0.101696464,5.6,,,,
1761,0.07953,11.492,143.59,a,4.81,a,,26.55,a,6.920466411,,0.114197127,5.3,,,,
1762,0.0819,11.555,154.58,a,5.38,a,,24.47,a,7.087840762,,0.12660102,5.5,,,,
1763,0.08433,11.617,157.24,a,5.53,a,,21.02,a,7.259189119,,0.132600492,5.7,,,,
1764,0.08684,11.681,154.54,a,5.63,a,,12.31,a,7.434295009,,0.134202536,6.2,,,,
1765,0.08943,11.744,149.39,a,5.4,a,,13.44,a,7.614952316,,0.133599477,6.4,,,,
1766,0.09209,11.808,144.75,a,5.09,a,,11.2,a,7.798949864,,0.133300275,6.5,,,,
1767,0.09483,11.872,141.2,a,5.29,a,,10.16,a,7.987702156,,0.13389996,6.8,,,,
1768,0.09765,11.937,135.79,a,5.03,a,,9.37,a,8.180447349,,0.132598935,6.7,,,,
1769,0.10056,12.002,129.57,a,4.78,a,,9.52,a,8.378603566,,0.130295592,6.2,,,,
1770,0.10355,12.067,126.12,a,4.67,a,,10.16,a,8.581254661,,0.13059726,6.2,,,,
1771,0.10663,12.133,120.89,a,4.32,a,,9.48,a,8.788428254,,0.128905007,6.7,,,,
1772,0.1098,12.199,117.21,a,4.27,a,,9.77,a,9.000737765,,0.12869658,7.4,,,,
1773,0.11307,12.265,114,a,4.11,a,,8.82,a,9.218915614,,0.1288998,7.4,,,,
1774,0.11644,12.332,109.67,a,3.96,a,,8.22,a,9.442101849,,0.127699748,7.5,,,,
1775,0.1199,12.399,106.17,a,3.9,a,,8.64,a,9.670134688,,0.12729783,7,,,,
1776,0.12347,12.467,106.26,a,3.75,a,,11.38,a,9.903745889,,0.131199222,6.9,,,,
1777,0.12714,12.534,107.44,a,3.7,a,,12,a,10.14360938,,0.136599216,6.9,,,,
1778,0.13093,12.603,109.3,a,3.84,a,,13.7,a,10.38879632,,0.14310649,7.1,,,,
1779,0.13482,12.671,113.78,a,4.17,a,,14.62,a,10.6400442,,0.153398196,6.5,,,,
1780,0.13883,12.74,120.44,a,4.32,a,,16.28,a,10.89717425,,0.167206852,6.3,,,,
1781,0.14297,12.809,133.17,a,4.83,a,,18.05,a,11.16168319,,0.190393149,6.6,,,,
1782,0.14722,12.916,145.56,a,5,a,,19.85,a,11.39826572,,0.214293432,6.7,,,,
1783,0.1516,13.023,152.9,a,5.31,a,,15.51,a,11.64094295,,0.2317964,7.5,,,,
1784,0.15611,13.131,155.6,a,5.56,a,,15.53,a,11.88866042,,0.24290716,7.6,,,,
1785,0.16076,13.24,152.71,a,5.74,a,,16.07,a,12.14199396,,0.245496596,7.2,,,,
1786,0.16554,13.349,148.73,a,5.73,a,,10.26,a,12.40092891,,0.246207642,7.2,,,,
1787,0.17047,13.46,144.19,a,5.45,a,,9.08,a,12.66493314,,0.245800693,7.2,,,,
1788,0.17554,13.572,139.63,a,5.36,a,,9.3,a,12.93398173,,0.245106502,7.5,,,,
1789,0.18076,13.684,135.15,a,5.22,a,,8.86,a,13.20958784,,0.24429714,7.4,,,,
1790,0.18614,13.798,131.08,a,5.03,a,,9.03,a,13.49036092,,0.243992312,7.5,,,,
1791,0.19168,13.912,126.88,a,4.92,a,,9.39,a,13.77803335,,0.243203584,7.5,,,,
1792,0.19739,14.134,122.4,a,4.72,a,,8.59,a,13.96561483,,0.24160536,7.6,,,,
1793,0.20326,14.36,119.5,a,4.5,a,,9.65,a,14.1545961,,0.2428957,7.8,,,,
1794,0.20931,14.589,119.25,a,4.68,a,,13.72,a,14.34711084,,0.249602175,8.5,,,,
