Year,Population-UK million
1692,9.1
1693,9.1
1694,9.1
1695,9.1
1696,9.1
1697,9.1
1698,9.1
1699,9.1
1700,9.1
1701,9.129
1702,9.158
1703,9.188
1704,9.217
1705,9.247
1706,9.276
1707,9.306
1708,9.336
1709,9.366
1710,9.396
1711,9.426
1712,9.456
1713,9.487
1714,9.517
1715,9.547
1716,9.578
1717,9.609
1718,9.64
1719,9.67
1720,9.701
1721,9.733
1722,9.764
1723,9.795
1724,9.826
1725,9.858
1726,9.889
1727,9.921
1728,9.953
1729,9.985
1730,10.017
1731,10.049
1732,10.081
1733,10.114
1734,10.146
1735,10.178
1736,10.211
1737,10.244
1738,10.277
1739,10.31
1740,10.343
1741,10.393
1742,10.444
1743,10.494
1744,10.545
1745,10.597
1746,10.648
1747,10.7
1748,10.752
1749,10.805
1750,10.857
1751,10.91
1752,10.963
1753,11.016
1754,11.07
1755,11.124
1756,11.184
1757,11.245
1758,11.306
1759,11.368
1760,11.43
1761,11.492
1762,11.555
1763,11.617
1764,11.681
1765,11.744
1766,11.808
1767,11.872
1768,11.937
1769,12.002
1770,12.067
1771,12.133
1772,12.199
1773,12.265
1774,12.332
1775,12.399
1776,12.467
1777,12.534
1778,12.603
1779,12.671
1780,12.74
1781,12.809
1782,12.916
1783,13.023
1784,13.131
1785,13.24
1786,13.349
1787,13.46
1788,13.572
1789,13.684
1790,13.798
1791,13.912
1792,14.134
1793,14.36
1794,14.589
1795,14.822
1796,15.059
1797,15.299
1798,15.544
1799,15.792
1800,16.044
1801,16.3
1802,16.508
1803,16.718
1804,16.931
1805,17.147
1806,17.365
1807,17.586
1808,17.811
1809,18.037
1810,18.267
1811,18.5
1812,18.736
1813,18.975
1814,19.217
1815,19.462
1816,19.71
1817,19.962
1818,20.217
1819,20.474
1820,20.736
1821,21
1822,21.291
1823,21.586
1824,21.886
1825,22.189
1826,22.497
1827,22.809
1828,23.125
1829,23.445
1830,23.77
1831,24.1
1832,24.366
1833,24.636
1834,24.908
1835,25.183
1836,25.462
1837,25.743
1838,26.028
1839,26.315
1840,26.606
1841,26.9
1842,26.959
1843,27.019
1844,27.079
1845,27.138
1846,27.198
1847,27.258
1848,27.319
1849,27.379
1850,27.439
1851,27.5
1852,27.656
1853,27.813
1854,27.971
1855,28.129
1856,28.289
1857,28.449
1858,28.611
1859,28.773
1860,28.936
1861,29.1
1862,29.341
1863,29.584
1864,29.829
1865,30.075
1866,30.324
1867,30.575
1868,30.828
1869,31.083
1870,31.341
1871,31.6
1872,31.925
1873,32.253
1874,32.584
1875,32.919
1876,33.257
1877,33.598
1878,33.943
1879,34.292
1880,34.644
1881,35
1882,35.28
1883,35.562
1884,35.846
1885,36.132
1886,36.421
1887,36.712
1888,37.006
1889,37.301
1890,37.6
1891,37.9
1892,38.255
1893,38.613
1894,38.974
1895,39.339
1896,39.707
1897,40.079
1898,40.454
1899,40.832
1900,41.214
1901,41.6
1902,41.965
1903,42.334
1904,42.705
1905,43.08
1906,43.459
1907,43.84
1908,44.225
1909,44.613
1910,45.005
1911,45.4
1912,45.133
1913,44.868
1914,44.604
1915,44.342
1916,44.081
1917,43.822
1918,43.564
1919,43.308
1920,43.053
1921,44.072
1922,44.268
1923,44.465
1924,44.663
1925,44.862
1926,45.062
1927,45.263
1928,45.464
1929,45.667
1930,45.87
1931,46.074
1932,46.284
1933,46.495
1934,46.706
1935,46.919
1936,47.133
1937,47.348
1938,47.563
1939,47.78
1940,47.997
1941,48.216
1942,48.42
1943,48.624
1944,48.829
1945,49.035
1946,49.242
1947,49.45
1948,49.659
1949,49.868
1950,50.079
1951,50.29
1952,50.536
1953,50.784
1954,51.032
1955,51.282
1956,51.533
1957,51.785
1958,52.039
1959,52.294
1960,52.55
1961,52.807
1962,53.111
1963,53.417
1964,53.725
1965,54.034
1966,54.345
1967,54.658
1968,54.973
1969,55.289
1970,55.608
1971,55.928
1972,55.97
1973,56.013
1974,56.055
1975,56.097
1976,56.14
1977,56.182
1978,56.225
1979,56.267
1980,56.31
1981,56.358
1982,56.465
1983,56.572
1984,56.68
1985,56.788
1986,56.896
1987,57.004
1988,57.112
1989,57.221
1990,57.33
1991,57.439
1992,57.604
1993,57.77
1994,57.936
1995,58.103
1996,58.27
1997,58.438
1998,58.606
1999,58.775
2000,58.944
2001,59.114
2002,59.455
2003,59.799
2004,60.145
2005,60.493
2006,60.843
2007,61.194
2008,61.548
2009,61.904
2010,62.262
2011,62.649
2012,63.067
2013,63.488
2014,63.912
2015,64.338
