Wavelength,Plant - healthy,Plant - sick,NDVI705,MTVI2,TCARI,PRI,SIPI,PSRI,WBI,CRI1,CRI2,ARI,ARI2
400,0.03,0.03,0,0,0,0,0,0,0,0,0,0,0
425,0.03,0.03,0,0,0,0,0,0,0,0,0,0,0
445,0.04,0.04,1,0,0,0,1,0,0,0,0,0,0
475,0.04,0.04,0,0,0,0,0,0,0,0,0,0,0
500,0.05,0.04,0,0,0,0,0,1,0,0,0,0,0
510,0.06,0.05,0,0,0,0,0,0,0,1,1,0,0
525,0.09,0.08,0,0,0,0,0,0,0,0,0,0,
531,0.11,0.09,0,0,0,1,0,0,0,0,0,0,0
550,0.15,0.12,0,1,1,0,0,0,0,1,0,1,1
570,0.11,0.11,0,0,0,1,0,0,0,0,0,0,0
575,0.10,0.10,0,0,0,0,0,0,0,0,0,0,0
600,0.06,0.06,0,0,0,0,0,0,0,0,0,0,0
625,0.05,0.05,0,0,0,0,0,0,0,0,0,0,0
650,0.04,0.04,0,0,0,0,0,0,0,0,0,0,0
670,0.03,0.03,0,1,1,0,0,0,0,0,0,0,0
680,0.03,0.03,0,0,0,0,1,1,0,0,0,0,0
700,0.10,0.10,1,0,1,0,0,0,0,0,1,1,1
725,0.30,0.20,0,0,0,0,0,0,0,0,0,0,0
740,0.46,0.24,0,0,0,0,0,0,0,0,0,0,0
750,0.49,0.24,0,0,0,0,0,1,0,0,0,0,0
775,0.51,0.26,0,0,0,0,0,0,0,0,0,0,0
800,0.51,0.26,0,1,0,0,0,0,0,0,0,0,1
825,0.51,0.27,0,0,0,0,0,0,0,0,0,0,0
850,0.52,0.28,0,0,0,0,0,0,0,0,0,0,0
875,0.52,0.28,0,0,0,0,0,0,0,0,0,0,0
900,0.51,0.29,0,0,0,0,0,0,1,0,0,0,0
925,0.50,0.28,0,0,0,0,0,0,0,0,0,0,0
950,0.48,0.28,0,0,0,0,0,0,0,0,0,0,0
970,0.46,0.28,0,0,0,0,0,0,1,0,0,0,0
1000,0.48,0.29,0,0,0,0,0,0,0,0,0,0,0
